date,day_of_week,month,day_seasonal_factor,month_seasonal_factor,forecast,lower_bound,upper_bound,required_drivers
2025-01-01,2,1,0.9836764608023034,1.0313593359151152,20.109313044980674,17.092916088233572,23.12571000172777,2
2025-01-02,3,1,0.9898823730925633,1.0313593359151152,20.155965114864447,17.13257034763478,23.17935988209411,2
2025-01-03,4,1,1.0027752599553212,1.0313593359151152,20.33722954908938,17.28664511672597,23.387813981452783,2
2025-01-04,5,1,1.0042023936926587,1.0313593359151152,20.284797250484395,17.242077662911736,23.327516838057054,2
2025-01-05,6,1,1.0262986279557402,1.0313593359151152,20.64797268240086,17.550776780040728,23.745168584760986,2
2025-01-06,0,1,0.9771501033874378,1.0313593359151152,19.579975987684477,16.642979589531805,22.516972385837146,2
2025-01-07,1,1,1.0054317124549872,1.0313593359151152,20.06520276618883,17.055422351260503,23.07498318111715,2
2025-01-08,2,1,0.9836764608023034,1.0313593359151152,19.551324899228057,16.618626164343848,22.484023634112262,2
2025-01-09,3,1,0.9898823730925633,1.0313593359151152,19.59445668004369,16.655288178037136,22.533625182050244,2
2025-01-10,4,1,1.0027752599553212,1.0313593359151152,19.768407654690584,16.803146506486996,22.73366880289417,2
2025-01-11,5,1,1.0042023936926587,1.0313593359151152,19.715165817848618,16.757890945171326,22.67244069052591,2
2025-01-12,6,1,1.0262986279557402,1.0313593359151152,20.065807213142392,17.055936131171034,23.07567829511375,2
2025-01-13,0,1,0.9771501033874378,1.0313593359151152,19.025689902738996,16.171836417328148,21.879543388149845,2
2025-01-14,1,1,1.0054317124549872,1.0313593359151152,19.494874005392763,16.57064290458385,22.419105106201677,2
2025-01-15,2,1,0.9836764608023034,1.0313593359151152,18.99333675347544,16.144336240454123,21.842337266496752,2
2025-01-16,3,1,0.9898823730925633,1.0313593359151152,19.032948245222936,16.178006008439496,21.887890482006377,2
2025-01-17,4,1,1.0027752599553212,1.0313593359151152,19.19958576029179,16.31964789624802,22.079523624335557,2
2025-01-18,5,1,1.0042023936926587,1.0313593359151152,19.14553438521284,16.273704227430915,22.017364542994766,2
2025-01-19,6,1,1.0262986279557402,1.0313593359151152,19.48364174388393,16.56109548230134,22.406188005466518,2
2025-01-20,0,1,0.9771501033874378,1.0313593359151152,18.471403817793515,15.700693245124487,21.24211439046254,2
2025-01-21,1,1,1.0054317124549872,1.0313593359151152,18.924545244596697,16.08586345790719,21.7632270312862,2
2025-01-22,2,1,0.9836764608023034,1.0313593359151152,18.435348607722823,15.670046316564399,21.200650898881243,2
2025-01-23,3,1,0.9898823730925633,1.0313593359151152,18.47143981040218,15.700723838841853,21.242155781962506,2
2025-01-24,4,1,1.0027752599553212,1.0313593359151152,18.630763865892995,15.836149286009045,21.425378445776943,2
2025-01-25,5,1,1.0042023936926587,1.0313593359151152,18.575902952577067,15.789517509690507,21.362288395463626,2
2025-01-26,6,1,1.0262986279557402,1.0313593359151152,18.901476274625466,16.066254833431646,21.736697715819286,2
2025-01-27,0,1,0.9771501033874378,1.0313593359151152,17.917117732848038,15.229550072920832,20.60468539277524,2
2025-01-28,1,1,1.0054317124549872,1.0313593359151152,18.35421648380063,15.601084011230535,21.107348956370725,2
2025-01-29,2,1,0.9836764608023034,1.0313593359151152,17.877360461970202,15.19575639267467,20.55896453126573,2
2025-01-30,3,1,0.9898823730925633,1.0313593359151152,17.90993137558143,15.223441669244215,20.596421081918642,2
